active_time,author,cuisine,directions,ingredients,link,photographer,pub_date,rating,servings,title,total_time
50 minutes,J. Kenji López-Alt,Vegetarian,"Combine garlic, ginger, chilies, 1 tablespoon lemon juice, and 1/2 teaspoon kosher salt in a mortar and pestle or in the small work bowl of a food processor and pound or process until a fine paste is produced. Set aside.,Heat oil or ghee in a large saucepan or Dutch oven over medium-high heat until shimmering. All at once, add mustard seed and cumin. They will sputter and spit for a few seconds. As soon as they are aromatic (about 15 seconds), add onion all at once, along with baking soda. Cook, stirring frequently, until onions start to leave a brown coating on bottom of pan, 3 to 4 minutes. Add 1 tablespoon water, scrape up browned bits from pan, and continue cooking. Repeat this process until onions are a deep brown, about 10 minutes total.,Immediately add garlic/ginger/chili paste all at once and stir to combine. Add coriander, black pepper, turmeric, and 1 teaspoon garam masala. Stir until fragrant, about 30 seconds. Add tomatoes and crush them using a whisk or potato masher. Add drained, rinsed chickpeas and cilantro, reserving a little cilantro for garnish. Add 1/2 cup water.,Bring to a simmer, cover with lid slightly cracked, and reduce heat to maintain a gentle bubbling. Cook, stirring occasionally, until liquid has reduced into a thick stew and spices have melded, about 30 minutes.,Stir in remaining garam masala and lemon juice. Season to taste with salt. Serve with rice and/or ,, sprinkling additional cilantro on top. ","4 medium cloves garlic, roughly chopped,1 (1-inch) knob ginger, peeled, roughly chopped,1 to 6 green Thai chilies (to taste), roughly chopped,2 tablespoons (30ml) juice from 1 lemon, divided,Kosher salt,2 tablespoons (30ml) vegetable oil or ghee,2 teaspoons (8g) black mustard seed,1 teaspoon (4g) whole cumin seed,1 large onion, finely diced (about 1 1/2 cups; 300g),1/4 teaspoon (1g) baking soda ,2 teaspoons (8g) ground coriander,1/2 teaspoon (2g) freshly ground black pepper,1/2 teaspoon (2g) ground turmeric,1 1/2 teaspoons (6g) store-bought or ,, divided,1 (14-ounce) can whole peeled tomatoes,2 (14-ounce) cans chickpeas, drained and rinsed,1 cup cilantro leaves, roughly chopped (1 ounce; 25g)",https://www.seriouseats.com/recipes/2016/04/channa-masala-recipe.html, J. Kenji López-Alt],"April  4, 2016",4.9285714285714,Serves 4 to 6,Channa Masala Recipe,50 minutes
45 minutes,J. Kenji López-Alt,Mains,"Combine the chicken stock and buttermilk in a liquid measuring cup and sprinkle the gelatin evenly over the top. Set aside.,Place the bread and mushrooms in a food processor and pulse until finely chopped. Transfer to a large bowl and set aside.,Add the anchovies, Marmite, soy sauce, paprika, and garlic to the processor bowl and pulse until reduced to a fine paste, scraping down the sides of the bowl as necessary. Add the onion, carrot, and celery and pulse until finely chopped but not pureed.,Heat the butter in a 10-inch nonstick skillet over medium-high heat until foaming. Add the chopped vegetable mixture and cook, stirring and tossing frequently, until it is softened and most of the liquid has evaporated, about 5 minutes; the mixture should start to darken a bit. Stir in the buttermilk mixture, bring to a simmer, and cook until reduced by half, about 10 minutes. Transfer to the bowl with the mushrooms and bread, stir thoroughly to combine, and let stand until cool enough to handle, about 10 minutes.,Add the meat mixture to the bowl, along with the eggs, cheese, parsley, 1 tablespoon salt, and 1 teaspoon pepper. With clean hands, mix gently until everything is thoroughly combined and homogeneous; it will be fairly loose. Pull off a teaspoon-sized portion of the mixture, place it on a microwave-safe plate, and microwave it on high power until cooked through, about 15 seconds. Taste the cooked piece for seasoning and add more salt and/or pepper as desired.,Transfer the mixture to a 9- by 5-inch loaf pan, being sure that no air bubbles get trapped underneath. (You may have some extra mix, depending on the capacity of your pan; this can be cooked in a ramekin or free-form next to the loaf.) Tear off a sheet of heavy-duty aluminum foil large enough to line a rimmed baking sheet and use it to tightly cover the meatloaf, crimping it around the edges of the pan. Refrigerate the meatloaf while the oven preheats. (The meatloaf can be refriger- ated for up to 2 days.),Adjust an oven rack to the lower-middle position and preheat the oven to 350°F. When the oven is hot, remove the meatloaf from the refrigerator and, without removing the foil cover, carefully invert it onto the rimmed baking sheet. Loosen the foil and spread it out, leaving the pan on top of the meatloaf (see note). Fold up the edges of the foil to trap the liquid that escapes from the meatloaf while baking. Bake until just beginning to set (the top should feel firm to the touch), about 30 minutes.,Use a thin metal spatula to lift an edge of the inverted loaf pan, jiggling it until it slides off the meatloaf easily, and use oven mitts or a folded kitchen towel to remove the pan, leaving the meatloaf on the center of the foil. Return to the oven and bake until the center of the meatloaf registers 140°F on an instant-read thermometer, about 40 minutes longer. There will be quite a bit of exuded juices; this is OK. Remove from the oven and let rest for 15 minutes. Increase the oven temperature to 500°F., Combine the ketchup, brown sugar, vinegar, and pepper in a small saucepan and cook over medium-high heat, whisking occasionally, until the sugar is melted and the mixture is homogeneous, about 2 minutes. Remove from the heat.,Use a brush to apply some glaze to the meatloaf in a thin, even layer, then return it to the oven and bake for 3 minutes. Glaze again and bake for 3 minutes longer. Glaze one more time and bake until the glaze is beginning to bubble and is a deep burnished brown, about 4 minutes longer. Remove from the oven and allow to rest for 15 minutes. Slice and serve with any extra glaze and mustard or ketchup as desired.","1/2 cup , or store-bought low-sodium chicken stock,1/4 cup buttermilk,1/2 ounce (2 packets; about 1 1/2 tablespoons) unflavored gelatin,2 slices high-quality white sandwich bread, crusts removed and torn into rough pieces,4 ounces button or cremini mushrooms, cleaned,3 anchovy filets,1/2 teaspoon Marmite,2 teaspoons soy sauce,1 teaspoon paprika,2 medium cloves garlic, roughly chopped (about 2 teaspoons),1 small onion, roughly chopped (about 3/4 cup),1 small carrot, peeled and roughly (about 1/2 cup),1 stalk celery, roughly chopped (about 1/2 cup),2 tablespoons unsalted butter,12 ounces freshly ground pork (see note),1 1/4 pounds freshly ground beef (see note),2 large eggs,4 ounces cheddar, provolone, Monterey Jack, or Muenster cheese, finely grated (about 1 cup),1/4 cup finely minced fresh parsley,Kosher salt and freshly ground black pepper,3/4 cup ketchup,1/4 cup packed light brown sugar,1/2 cup cider vinegar,1/2 teaspoon freshly ground black pepper",https://www.seriouseats.com/recipes/2015/08/the-food-lab-all-american-meatloaf-excerpt-recipe.html, J. Kenji López-Alt],"August 14, 2015",4.3846153846154,Serves 4 to 6,The Food Lab's All-American Meatloaf Recipe,2 hours
40 minutes,Sydney Oland,Condiments and Sauces,"Heat vegetable oil in a medium non-stick skillet over medium-high heat until shimmering. Add onion, garlic, and ginger Cook stirring constantly with a spatula until onions soften about 5 minutes. Add cumin, turmeric, coriander, paprika, curry powder, and pinch of red pepper flakes and continue to cook until the spices begin to smell toasted, about 6 minutes.,Reduce heat to medium and add tomato paste and continue to stir until tomato paste is evenly incorporated and has begun to reduce, about 3 minutes. Add flour and mix until there are no lumps and no white spots left in the pan. Pour the water and lemon juice into the pan and stir until the mixture begins to thicken, allow curry sauce to reduce until the mixture has reduced to about 1 1/2 cups. Curry sauce can be stored for up to a week in the refrigerator.,At this point you can decide whether or not to puree and strain the mixture. If you decide to puree and strain the curry then run it through a food processor or blender and the pass through a fine mesh strainer. Season with salt and pepper, then use to make a variety of delicious curries. ","2 tablespoons vegetable oil ,1 medium onion, grated on the large holes of a box grater ,2 medium cloves garlic, finely chopped (about 2 teaspoons),1-inch piece of ginger, peeled and finely chopped (about 1 tablespoon),1 1/2 teaspoons ground cumin ,1 teaspoon ground turmeric ,1/2 teaspoon ground coriander ,1 teaspoon paprika ,1/2 teaspoon curry powder (such as Madras),Pinch of red pepper flakes ,1 tablespoon tomato paste ,1 tablespoon all purpose flour ,1 1/2 cups water ,1 tablespoon juice from 1 lemon,Kosher salt and freshly ground black pepper",https://www.seriouseats.com/recipes/2013/01/british-curry-sauce-recipe.html,,"January 16, 2013",5.0,makes 1 1/2 cups,British Curry Sauce Recipe,40 minutes
30 minutes,J. Kenji López-Alt,Sides,"Place flour in bowl of food processor (see note). With processor running, slowly drizzle in about 3/4 of boiling water. Process for 15 seconds. If dough does not come together and ride around the blade, drizzle in more water a tablespoon at a time until it just comes together. Transfer to a floured work surface and knead a few times to form a smooth ball. Transfer to a bowl, cover with a damp towel or plastic wrap, and allow to rest for 30 minutes at room temperature, or up to overnight in the fridge.,Divide dough into four even pieces and roll each into a smooth ball. Working one ball at a time, roll out into a disk roughly 8-inches in diameter on a lightly floured surface. Using a pastry brush, paint a very thin layer of sesame oil over the top of the disk. Roll disk up like a jelly roll, then twist roll into a tight spiral, tucking the end underneath. Flatten gently with your hand, then re-roll into an 8-inch disk.,Paint with another layer or sesame oil, sprinkle with 1/2 cup scallions, and roll up like a jelly roll again. Twist into a spiral, flatten gently, and re-roll into a 7-inch disk. Repeat steps two and three with remaining pancakes.,Combine all the sauce ingredients and set aside at room temperature.,Heat oil in an 8-inch nonstick or cast-iron over medium-high heat until shimmering and carefully slip pancake into the hot oil. Cook, shaking the pan gently until first side is an even golden brown, about 2 minutes. Carefully flip with a spatula or tongs (be careful not to splash the oil), and continue to cook, shaking pan gently, until second side is even golden brown, about 2 minutes longer. Transfer to a paper towel-lined plate to drain. Season with salt, cut into 6 wedges. Serve immediately with sauce for dipping. Repeat with remaining 3 pancakes.","2 cups all-purpose flour, plus extra for dusting work surface,1 cup boiling water,Up to 1/4 cup toasted sesame seed oil,2 cups thinly sliced scallion greens,&nbsp,2 tablespoons soy sauce,2 tablespoons Chinkiang or rice wine vinegar,1 tablespoon finely sliced scallion greens,1/2 teaspoon grated fresh ginger,2 teaspoons sugar, ,1/4 cup vegetable oil,Kosher salt",https://www.seriouseats.com/recipes/2011/04/extra-flaky-scallion-pancakes-recipe.html,,"April  8, 2011",4.8235294117647,Makes 4 pancakes,Extra-Flaky Scallion Pancakes Recipe,1 hour
15 minutes,Stella Parks,Fruit Desserts,"Line a 10 1/2– by 5 1/2–inch loaf pan with a 9- by 13-inch sheet of parchment paper, or two 9- by 5-inch loaf pans with 7- by 13-inch sheets of parchment paper. Adjust oven rack to lower-middle position and preheat to 350°F. Peel bananas (for roughly 12 ounces or 340g fruit) and mash with Greek yogurt, eggs, and vanilla in a medium bowl. If bananas are underripe, cover bowl with plastic and let mixture stand 30 minutes.,Combine flour, sugar, oat flour, baking powder, baking soda, salt, cinnamon, cloves, nutmeg, and coconut oil in the bowl of a stand mixer fitted with a paddle attachment. Mix on low until coconut oil disappears into a mealy powder. Add banana mash and continue mixing only until the floury bits disappear. Fold in nuts with a flexible spatula, scrape into prepared pan(s), and spread into an even layer. Bake until well risen and golden brown, or to an internal temperature of around 206°F (about 70 minutes for a large loaf or 45 for small). Wrapped tightly in foil, banana bread will keep up to 3 days at room temperature or 1 week in the fridge., Divide batter evenly among 12 lightly greased nonstick muffin cups, adding approximately 1/2 cup (4 ounces; 120g) to each cup. Bake until domed and just beginning to brown around the edges, about 25 minutes.","4 medium bananas (20 ounces; 565g), ripe but not fully black,4 ounces plain Greek yogurt (1/2 cup; 115g), preferably nonfat,2 large eggs, straight from the fridge,1/2 ounce vanilla extract (1 tablespoon; 15g),10 ounces all-purpose flour (2 cups; 280g),5 1/4 ounces sugar (3/4 cup; 150g), preferably ,3 ounces oat flour (3/4 cup; 85g), such as , (see note),1 teaspoon baking powder,1 teaspoon baking soda,3/4 teaspoon (3g) Diamond Crystal kosher salt; for table salt, use half as much by volume or use the same weight,3/4 teaspoon ground cinnamon,1/2 teaspoon ground cloves,1/4 teaspoon ground or grated nutmeg,5 1/4 ounces coconut oil, virgin or refined (3/4 cup; 150g), creamy but firm, about 70°F,6 ounces toasted pecan or other nut pieces (1 cup; 170g) (see note)",https://www.seriouseats.com/recipes/2016/09/classic-banana-bread-recipe.html, Vicky Wasik],"September  8, 2016",4.5,"Makes one 10 1/2–inch loaf, two 9- by 5-inch loaves, or 12 muffins",Classic Banana Bread Recipe,"1 to 1 1/2 hours, depending on loaf size"
35 minutes,Niki Achitoff-Gray,Mains," On a large, clean work surface, pour flour in a mound. Make a well in the center about 4 inches wide. Pour whole eggs, egg yolks, and salt into well and, using a fork, beat thoroughly. When combined, gradually incorporate flour into the eggs until a wet, sticky dough has formed.,Using a bench knife, scrape excess dough from fork and fingers. Begin to fold additional flour into the dough with the bench knife, turning the dough roughly 45 degrees each time, until dough feels firm and dry, and can form a craggy-looking ball, 2 to 5 minutes.,Press the heel of your hand into the ball of dough, pushing forward and down. Rotate the ball 45 degrees and repeat. Continue until dough develops a smooth, elastic texture similar to a firm ball of Play-Doh. If dough feels too wet, add flour in 1 teaspoon increments. If dough feels too dry, add water slowly using a spray bottle.,Wrap ball of dough tightly in plastic wrap and rest on countertop for 30 minutes., Meanwhile, place a sheet of parchment paper on a tray or cutting board and dust lightly with flour. Unwrap rested dough and cut into quarters. Set one quarter on work surface and re-wrap remaining dough. With a rolling pin, flatten the quarter of dough into an oblong shape about 1/2 inch thick.,Set pasta maker to widest setting and pass dough 3 times through the machine at this setting.,Place dough on a lightly floured work surface. Fold both ends in so that they meet at the center of the dough, and then fold the dough in half where the end points meet, trying not to incorporate too much air into the folds. Using rolling pin, flatten dough to 1/2-inch thick. Pass through the rollers 3 additional times.,Narrow the setting by 1 notch and repeat Step 7. Repeat once more (the dough should now have passed through the third widest setting). Continue passing the dough through the rollers, reducing the thickness by 1 setting each time until it reaches the desired thickness. It should now be very delicate and elastic to the touch, and slightly translucent.,Place rolled dough onto a work surface or baking sheet lightly dusted with flour or lined with parchment paper, folding the dough over as necessary so that it fits; sprinkle with flour or line with parchment between folds to prevent sticking.,Cover dough with plastic wrap or a kitchen towel to prevent drying, then repeat Steps 5 through 9 with remaining dough quarters. If making noodles, cut dough into 12- to 14-inch segments., Adjust pasta machine to noodle setting of your choice. Working one dough segment at a time, feed dough through the pasta-cutter. Alternatively, cut folded dough by hand with a chef's knife to desired noodle width. ,Divide the cut noodles into individual portions, dust lightly with flour, and curl into a nest. Place on parchment-lined rimmed baking sheet and gently cover with kitchen towel until ready to cook. Pasta can be frozen directly on the baking sheet, transferred to a zipper-lock freezer bag, and stored in the freezer for up to three weeks before cooking. Cook frozen pasta directly from the freezer., Bring a large pot of salted water to a rolling boil. Add pasta, stir gently with a wooden spoon, chopsticks, or a cooking fork, and cook, tasting at regular intervals until noodles are just set with a definite bite, about 1 1/2 to 2 minutes. Drain, toss with sauce, and serve.","10 ounces (280g; about 2 cups) all-purpose flour, plus more for dusting,2 whole large eggs (110g; about 4 ounces),4 yolks from 4 large eggs (70g; about 2.5 ounces),1 teaspoon kosher salt, plus more for salting water",https://www.seriouseats.com/recipes/2015/01/fresh-egg-pasta.html, Vicky Wasik],"January  5, 2015",4.4615384615385,Makes about 1 pound (serving 4 to 6),Classic Fresh Egg Pasta Recipe,1 hour 5 minutes
20 minutes,J. Kenji López-Alt,Mains,"Combine dashi, soy sauce, sake, and sugar in a small saucepan and bring to a simmer over high heat. Adjust heat to maintain a strong simmer. Stir in onion and cook, stirring occasionally, until onion is half tender, about 5 minutes. Add chicken pieces and cook, stirring and turning chicken occasionally, until chicken is cooked through and broth has reduced by about half, 5 to 7 minutes for chicken thighs or 3 to 4 minutes for chicken breast. Stir in half of scallions and all of mitsuba (if using), then season broth to taste with more soy sauce or sugar as desired. The sauce should have a balanced sweet-and-salty flavor.,Reduce heat to a bare simmer. Beat eggs lightly with chopsticks in a medium bowl. Pour eggs into pot in a thin, steady stream (see note), holding your chopsticks over edge of bowl to help distribute eggs evenly (see video above). Cover and cook until eggs are cooked to desired doneness, about 1 minute for runny eggs or 3 minutes for medium-firm., Transfer hot rice to a single large bowl or 2 individual serving bowls. Top with egg and chicken mixture, pouring out any excess broth from saucepan over rice. Add an extra egg yolk to center of each bowl, if desired (see note). Garnish with remaining half of sliced scallions and togarashi. Serve immediately.","1 cup (240ml) , dashi, or the equivalent in , (see note),1 tablespoon (15ml) soy sauce, plus more to taste,2 tablespoons (30ml) dry sake,1 tablespoon (15g) sugar, plus more to taste,1 large onion, slivered (about 6 ounces; 170g),12 ounces (340g) boneless, skinless chicken thighs, thinly sliced (see note),3 thinly sliced scallions, divided,2 stems mitsuba (optional; see note),3 to 4 large eggs (see note),2 cups cooked white rice,Togarashi (see note)",https://www.seriouseats.com/recipes/2016/08/oyakodon-japanese-chicken-and-egg-rice-bowl-recipe.html, J. Kenji López-Alt],"August  4, 2016",5.0,Serves 2,Oyakodon (Japanese Chicken and Egg Rice Bowl) Recipe,20 minutes
2 minutes,Joshua Bousel,Condiments and Sauces,"In a small bowl, mix together mayonnaise, Sriracha, and lime juice. Taste and add more Sriracha to desired spiciness. Serve immediately or transfer to an airtight container and store in refrigerator for up to a month.","1/2 cup mayonnaise, preferably Japanese,2 tablespoon Sriracha hot sauce, plus more to taste,1 teaspoon freshly squeezed lime juice (optional)",https://www.seriouseats.com/recipes/2012/12/spicy-mayo-for-sushi-recipe.html, Joshua Bousel],"December 12, 2012",,Makes about 1/2 cup,Spicy Mayo for Sushi Recipe,2 minutes
15 minutes,Joshua Bousel,Condiments and Sauces,"Place onions and cubanelle peppers in workbowl of a food processor fitted with a steel blade. Pulse until coarsely chopped.,With the motor running, add the remaining ingredients one at a time through the feed tube and process until smooth. Season to taste with salt. Transfer to container and store in refrigerator for up to three days, or freeze.","2 medium Spanish onions, cut into large chunks  (about 2 cups),4 cubanelle peppers, stemmed, seeded, and cut into large chunks  (about 2 cups),18 medium cloves garlic, peeled ,1 large bunch cilantro, washed and roughly chopped (about 1 1/2 cups),8 ajices dulces (see note),4 leaves of culantro (see note),4 ripe plum tomatoes, cored and cut into chunks  (about 1 1/2 cups),1 large red bell pepper, cored, seeded, and roughly chopped (about 1 1/2 cups),Kosher salt (optional)",https://www.seriouseats.com/recipes/2012/04/sofrito-puerto-rican-how-to-make-recipe.html,,"April 25, 2012",5.0,makes 4 cups,Puerto Rican Sofrito Recipe,15 minutes
10 minutes,J. Kenji López-Alt,Sandwiches,"Spread 1 teaspoon butter on each half of the English muffin and place halves in a 10-inch nonstick or cast iron skillet over medium heat. Cook, swirling muffin halves and pressing gently to get good contact with pan, until both pieces are well browned, about 4 minutes. Transfer to a sheet of aluminum foil, split side up.,Melt remaining 1 teaspoon butter in the now-empty skillet and increase heat to medium-high. Add bacon and cook, turning frequently, until browned and crisp around the edges, about 1 1/2 minutes. Transfer bacon to lower muffin half.,Place the lid of a quart-sized, wide-mouthed Mason jar (both the lid and the sealing ring) upside down in the now-empty skillet. (The side the jar screws onto should be facing up.) Spray the inside with nonstick cooking spray and break egg into it. Poke the egg yolk with a fork to break it and season with salt and pepper. Pour 3/4 cup (180ml) water into the skillet, cover, and cook until egg is set, about 2 minutes.,Using a thin spatula, transfer Mason jar lid to a paper towel–lined plate. Pour excess water out of the skillet and return it to the stovetop with the heat off. Flip Mason jar lid over and gently remove it to release egg. Place egg on top of bacon and top with cheese slice. Close sandwich, wrap in aluminum foil, and return to the now-empty skillet. Let it warm up in the skillet for 2 minutes with the heat off, flipping occasionally. Unwrap and serve immediately.","1 tablespoon unsalted butter (1/2 ounce; 15g), softened, divided,1 English muffin, split,1 slice high-quality Canadian bacon,Nonstick cooking spray,1 large egg,Kosher salt and freshly ground black pepper,1 slice American, cheddar, Swiss, or Jack cheese",https://www.seriouseats.com/recipes/2016/01/homemade-egg-mcmuffin-mcdonalds-recipe.html, J. Kenji López-Alt],"January 20, 2016",4.6,Makes 1 sandwich,Homemade Egg McMuffin Recipe,10 minutes
5 minutes,Daniel Gritzer,Cocktails,"Pour Tajín (or other chili-salt mixture) or salt into a small, shallow dish in an even layer. Rub a pint or pilsner glass's rim with the cut side of the reserved juiced lime half, then dip glass into the dish to create a salt rim.,Set glass right side up and fill with lime juice, hot sauce, and Worcestershire sauce. Add a pinch or two of salt, fill glass with ice, and top with beer. Stir gently if you want to mix it up a bit. Serve with remaining beer, topping up as you drink."," or other chili-salt blend (optional; see note),Kosher or sea salt,2 ounces (60ml) fresh juice from 2 limes (see note), half a juiced lime reserved for the rim,2 teaspoons (10ml) hot sauce, preferably a Mexican-style brand like Tapatío (our favorite); see note,1 teaspoon (5ml) Worcestershire sauce,1 (12-ounce; 355ml) can or bottle light Mexican beer, such as Modelo, Pacífico, Tecate, Victoria, or Corona, well chilled",https://www.seriouseats.com/recipes/2017/06/perfect-michelada-mexican-beer-cocktail-recipe.html, Vicky Wasik],"June 26, 2017",,Makes 1 drink,The Perfect  Michelada  (Spicy Mexican Beer and Lime Cocktail Recipe),5 minutes
15 minutes,J. Kenji López-Alt,Sides,"Add cheese and cornstarch to large bowl. Toss to combine. Transfer to medium saucepan.,Add 1 cup evaporated milk and hot sauce. Cook over low heat, stirring constantly with whisk until melted, bubbly, and thickened (about 5 minutes). Mixture will look thin and grainy at first but will thicken and come together after heating. Thin to desired consistency with additional evaporated milk. Serve immediately with fries, tortilla chips, burgers, or hot dogs.,To reheat the sauce, microwave it on high heat, stopping and stirring every 30 seconds until it's fully melted.","8 ounces extra sharp cheddar cheese (or a mix of cheddar and pepper Jack—see note), grated on large holes of a box grater,1 tablespoon corn starch,1 (12-ounce) can evaporated milk,2 teaspoons Franks Red Hot or other hot sauce",https://www.seriouseats.com/recipes/2010/09/cheese-sauce-for-cheese-fries-and-nachos.html, J. Kenji Lopez-Alt],"September 17, 2010",4.1212121212121,4-6 (makes about 1 1/2 cups),Cheese Sauce for Cheese Fries and Nachos Recipe,15 minutes
5 minutes,Daniel Gritzer,Quick and Easy,"In a small bowl, beat eggs with salt.,In a nonstick skillet, melt butter over medium-high heat until foamy. Add eggs and cook, stirring, until large, fluffy curds form and eggs are fully cooked through, about 3 minutes. Season with pepper and serve.","3 large eggs,1/8 teaspoon kosher salt, see note,2 tablespoons (1 ounce; 30ml) milk (optional),1/2 tablespoon (1/4 ounce; 8g) unsalted butter,Freshly ground black or white pepper",https://www.seriouseats.com/recipes/2015/05/fluffy-scrambled-eggs-recipe.html, Vicky Wasik. Video,"May 14, 2015",5.0,Serves 1,Fluffy Scrambled Eggs Recipe,5 minutes
15 minutes,Joshua Bousel,Condiments and Sauces,"In a small bowl, mix together mayonnaise, Dijon mustard, lemon juice, parsley, hot sauce, whole-grain mustard, garlic, capers, Worcestershire sauce, paprika, scallion, salt, and cayenne pepper. Let sit for 1 hour for flavors to combine, then serve or cover and store in the refrigerator.","1 cup ,2 tablespoons Dijon mustard,1 tablespoon freshly squeezed lemon juice,1 tablespoon finely chopped flat-leaf parsley,1 tablespoon Louisiana-style hot sauce,2 teaspoons whole-grain mustard,2 cloves garlic, minced,2 teaspoons capers, roughly chopped,1 teaspoon worcestershire sauce,1 teaspoon mild paprika,1 scallion, finely chopped,1/4 teaspoon kosher salt,1/8 teaspoon cayenne pepper",https://www.seriouseats.com/recipes/2011/06/sauced-louisiana-remoulade-recipe.html,,"June  1, 2011",4.6666666666667,Makes 1 1/2 cups,Sauced: Louisiana Remoulade Recipe,15 minutes
45 minutes,J. Kenji López-Alt,Pizza," Combine flour, yeast, and salt in the bowl of a stand mixer fitted with a dough hook attachment. Stir to combine, then add water. Mix on low speed until dough comes together into a rough ball, then shut off mixer and let rest for 10 minutes. Continue mixing at medium-low speed until dough forms a smooth, silky ball, about 10 minutes longer. (It should stick to the bottom of the bowl as it kneads rather than riding around the edges.) Remove dough hook, form dough into a tight ball, set in the bottom of the mixer bowl, cover tightly with plastic wrap, and set aside in a warm place until dough has roughly doubled in volume, about 2 hours., Combine flour, yeast, and salt in the bowl of a food processor and pulse to combine. Add water, then turn on processor and process until dough forms a ball that rides around the bowl of the processor, about 30 seconds. Continue processing for 30 seconds longer. Transfer dough to a bowl, form a tight ball, cover tightly with plastic wrap, and set aside in a warm place until dough has roughly doubled in volume, about 2 hours., Combine flour, yeast, and salt in a large bowl. Whisk to combine, then add water and stir with a wooden spoon until a rough ball of dough has formed. Set aside for 10 minutes. Turn dough out onto a countertop and knead until a smooth, silky ball has formed, about 10 minutes. Transfer dough to a bowl, form a tight ball, cover tightly with plastic wrap, and set aside in a warm place until dough has roughly doubled in volume, about 2 hours.,Pour a couple tablespoons olive oil in the bottom of a , or two 8- by 8-inch cake pans. (Split dough in half if using cake pans.) Transfer dough to pan(s) and turn to coat in oil. Press down on dough and spread it toward the edges. You won't be able to get it all the way to the edges; this is okay. Spread it as much as you can without tearing, then cover tightly in plastic and set aside for 30 minutes to allow dough to relax. Return to dough and stretch it out again. It should be able to reach the edges this time. If not, let it rest a little more and try again. To get the dough to stay in the corners, stretch it up beyond the corners so that it pulls back into place. Once dough is stretched, cover again and set aside while you make the sauce., Adjust oven rack to lowest position and preheat oven to 550°F (290°C), or as close to it as your oven gets. Heat 2 tablespoons (30ml) olive oil in a medium saucepan over medium heat until shimmering. Add minced garlic, oregano, and pepper flakes and cook, stirring, until fragrant, about 30 seconds. Add tomatoes, garlic powder, onion powder, and sugar. Bring to a simmer and cook until reduced to about 3 cups, about 30 minutes. Season to taste with salt., Press down on dough with your fingertips to remove any large air bubbles. Lay half of pepperoni (if using) evenly over face of dough. Top with cheese, spreading it evenly all the way to the very edges of the pan, then add remaining pepperoni. Spoon sauce over surface in 3 even rows. (You will need only about half the sauce—save the rest for another pizza.),Transfer to oven and bake until edges are black and bubbly and exposed cheese on top is starting to lightly brown, 12 to 15 minutes. Transfer to a trivet or folded kitchen towel on countertop.,Run a thin metal spatula all the way around the edges of the pan to loosen the pizza. Carefully lift it out and slide it onto a cutting board. Cut pizza and serve.","300g bread flour (10.5 ounces; about 2 generous cups),5g instant yeast (0.15 ounce; about 1 teaspoon), such as ,9g salt (0.3 ounce; about 1 1/2 teaspoons table salt or 1 tablespoon Diamond Crystal kosher salt),220g water (7.75 ounces; about 1 cup minus 1 1/2 teaspoons),Extra-virgin olive oil, as needed,2 tablespoons (30ml) extra-virgin olive oil,3 medium cloves garlic, minced,2 teaspoons (about 5g) dried oregano,Dash red pepper flakes,1 (28-ounce; 800g) can high-quality crushed tomatoes,1 teaspoon (about 6g) granulated garlic powder,1 teaspoon (about 6g) granulated onion powder,1 tablespoon (about 15g) sugar,Kosher salt, to taste,12 ounces (340g) ,, cut into 1/2-inch cubes (see note),12 ounces (340g) high-quality natural-casing pepperoni, such as , or ,, cut into 1/8-inch slices (optional)",https://www.seriouseats.com/recipes/2017/02/detroit-style-pizza-recipe.html, J. Kenji López-Alt],"February 28, 2017",4.8518518518519,"Makes one 10- by 14-inch pizza, serving 4",Detroit-Style Pan Pizza Recipe,About 4 hours
15 minutes,J. Kenji López-Alt,Pizza,"Process tomatoes and their juice through food mill, pulse in food processor until pureed, or puree with hand blender. Puree should not be completely smooth, but should have no chunks larger than 1/16 of an inch. Set tomatoes aside.,Combine butter and oil in medium saucepan and heat over medium-low heat until butter is melted. Add garlic, oregano, pepper flakes, and large pinch salt and cook, stirring frequently, until fragrant but not browned, about 3 minutes. Add tomatoes, basil sprigs, onion halves, and sugar. Bring to a simmer, reduce heat to lowest setting (bubbles should barely be breaking the surface), and cook, stirring occasionally, until reduced by 1/2, about 1 hour. Discard onions and basil stems. Season to taste with salt. Allow to cool and store in covered container in the refrigerator for up to 2 weeks.","1 (28-ounce) can whole peeled tomatoes,1 tablespoon extra-virgin olive oil,1 tablespoon unsalted butter,2 medium cloves garlic, grated on microplane grater (about 2 teaspoons),1 teaspoon dried oregano,Pinch red pepper flakes,Kosher salt,2 (6-inch) sprigs fresh basil with leaves attached,1 medium yellow onion, peeled and split in half,1 teaspoon sugar",https://www.seriouseats.com/recipes/2010/10/new-york-style-pizza-sauce.html, J. Kenji Lopez-Alt],"October  7, 2010",4.4545454545455,"Makes enough for 2 to 4 (12-inch) pies, depending on how much sauce you like",New York-Style Pizza Sauce Recipe,2 hours
